id,next,Especie,Zona,DensidadInicial,SiteIndex,Manejo,Condicion,α,β,γ,zero_numeric,zero_symbolic
0,-1,eucapiltus,Z1,800,24,NA,SinManejo,2.371,1.778,0.0,0.0,0.0
1,-1,eucapiltus,Z1,800,26,NA,SinManejo,2.371,1.778,0.0,0.0,0.0
2,-1,eucapiltus,Z1,800,28,NA,SinManejo,5.464,1.591,0.0,0.0,0.0
3,-1,eucapiltus,Z1,800,30,NA,SinManejo,7.709,1.519,0.0,0.0,0.0
4,-1,eucapiltus,Z1,800,32,NA,SinManejo,10.228,1.462,6.24,0.0,nan
5,-1,eucapiltus,Z1,1250,24,NA,SinManejo,2.379,1.774,0.0,0.0,0.0
6,-1,eucapiltus,Z1,1250,26,NA,SinManejo,3.794,1.666,0.0,0.0,0.0
7,-1,eucapiltus,Z1,1250,28,NA,SinManejo,5.307,1.6,0.0,0.0,0.0
8,-1,eucapiltus,Z1,1250,30,NA,SinManejo,7.779,1.513,0.0,0.0,0.0
9,-1,eucapiltus,Z1,1250,32,NA,SinManejo,10.304,1.457,5.66,0.0,nan
10,-1,eucapiltus,Z2,800,24,NA,SinManejo,3.221,1.647,0.0,0.0,0.0
11,-1,eucapiltus,Z2,800,26,NA,SinManejo,3.612,1.656,0.0,0.0,0.0
12,-1,eucapiltus,Z2,800,28,NA,SinManejo,4.559,1.618,0.0,0.0,0.0
13,-1,eucapiltus,Z2,800,30,NA,SinManejo,5.926,1.567,0.0,0.0,0.0
14,-1,eucapiltus,Z2,800,32,NA,SinManejo,7.3,1.532,0.0,0.0,0.0
15,-1,eucapiltus,Z2,1250,24,NA,SinManejo,3.197,1.65,0.0,0.0,0.0
16,-1,eucapiltus,Z2,1250,26,NA,SinManejo,3.729,1.645,0.0,0.0,0.0
17,-1,eucapiltus,Z2,1250,28,NA,SinManejo,5.129,1.574,0.0,0.0,0.0
18,-1,eucapiltus,Z2,1250,30,NA,SinManejo,6.201,1.547,0.0,0.0,0.0
19,-1,eucapiltus,Z2,1250,32,NA,SinManejo,7.592,1.514,0.0,0.0,0.0
20,22,pino,Z6,1250,32,Intensivo,PostRaleo1250-700,0.421,2.253,3.485,0.0,nan
21,23,pino,Z7,1250,32,Intensivo,PostRaleo1250-700,0.576,2.044,3.968,0.0,nan
22,-1,pino,Z6,1250,32,Intensivo,PostPodayRaleo700-300,122.491,0.562,-416.814,8.837535470860608,8.83753547086061
23,-1,pino,Z7,1250,32,Intensivo,PostPodayRaleo700-300,22.934,0.936,-171.991,8.607097945847487,8.607097945847487
24,26,pino,Z6,1250,29,Intensivo2,PostRaleo1250-700,0.421,2.253,3.485,0.0,nan
25,27,pino,Z7,1250,29,Intensivo2,PostRaleo1250-700,0.07,2.85,7.522,0.0,nan
26,-1,pino,Z6,1250,29,Intensivo2,PostPodayRaleo700-300,122.491,0.562,-416.814,8.837535470860608,8.83753547086061
27,-1,pino,Z7,1250,29,Intensivo2,PostPodayRaleo700-300,40.929,0.774,-227.526,9.17343879933831,9.173438799338424
28,30,pino,Z6,1250,26,Multipropósito,PostRaleo1250-700,0.069,2.791,1.441,0.0,nan
29,31,pino,Z7,1250,26,Multipropósito,PostRaleo1250-700,0.047,2.905,8.454,0.0,nan
30,-1,pino,Z6,1250,26,Multipropósito,PostPodayRaleo700-300,58.378,0.701,-298.45,10.253533809880294,10.253533809880297
31,-1,pino,Z7,1250,26,Multipropósito,PostPodayRaleo700-300,56.816,0.666,-260.576,9.844390350715381,9.844390350715381
32,-1,pino,Z6,1250,23,Pulpable,PostRaleo1250-700,9.592,1.169,-97.246,7.25324875072339,7.253248750723391
33,-1,pino,Z7,1250,23,Pulpable,PostRaleo1250-700,20.852,0.844,-103.893,6.704231736283532,6.704231736283531
