id,next,Especie,Zona,DensidadInicial,SiteIndex,Manejo,Condicion,α,β,γ,estable
1,,eucapiltus,Z1,800,24,NA,SinManejo,2.371,1.778,0.000,0
2,,eucapiltus,Z1,800,26,NA,SinManejo,2.371,1.778,0.000,0
3,,eucapiltus,Z1,800,28,NA,SinManejo,5.464,1.591,0.000,0
4,,eucapiltus,Z1,800,30,NA,SinManejo,7.709,1.519,0.000,0
5,,eucapiltus,Z1,800,32,NA,SinManejo,10.228,1.462,6.240,0
6,,eucapiltus,Z1,1250,24,NA,SinManejo,2.379,1.774,0.000,0
7,,eucapiltus,Z1,1250,26,NA,SinManejo,3.794,1.666,0.000,0
8,,eucapiltus,Z1,1250,28,NA,SinManejo,5.307,1.600,0.000,0
9,,eucapiltus,Z1,1250,30,NA,SinManejo,7.779,1.513,0.000,0
10,,eucapiltus,Z1,1250,32,NA,SinManejo,10.304,1.457,5.660,0
11,,eucapiltus,Z2,800,24,NA,SinManejo,3.221,1.647,0.000,0
12,,eucapiltus,Z2,800,26,NA,SinManejo,3.612,1.656,0.000,0
13,,eucapiltus,Z2,800,28,NA,SinManejo,4.559,1.618,0.000,0
14,,eucapiltus,Z2,800,30,NA,SinManejo,5.926,1.567,0.000,0
15,,eucapiltus,Z2,800,32,NA,SinManejo,7.300,1.532,0.000,0
16,,eucapiltus,Z2,1250,24,NA,SinManejo,3.197,1.650,0.000,0
17,,eucapiltus,Z2,1250,26,NA,SinManejo,3.729,1.645,0.000,0
18,,eucapiltus,Z2,1250,28,NA,SinManejo,5.129,1.574,0.000,0
19,,eucapiltus,Z2,1250,30,NA,SinManejo,6.201,1.547,0.000,0
20,,eucapiltus,Z2,1250,32,NA,SinManejo,7.592,1.514,0.000,0
21,23,pino,Z6,1250,32,Intensivo,PostRaleo1250-700,0.421,2.253,3.485,5
22,24,pino,Z7,1250,32,Intensivo,PostRaleo1250-700,0.576,2.044,3.968,5
23,,pino,Z6,1250,32,Intensivo,PostPodayRaleo700-300,122.491,0.562,-416.814,10
24,,pino,Z7,1250,32,Intensivo,PostPodayRaleo700-300,22.934,0.936,-171.991,10
25,27,pino,Z6,1250,29,Intensivo2,PostRaleo1250-700,0.421,2.253,3.485,5
26,28,pino,Z7,1250,29,Intensivo2,PostRaleo1250-700,0.070,2.850,7.522,5
27,,pino,Z6,1250,29,Intensivo2,PostPodayRaleo700-300,122.491,0.562,-416.814,10
28,,pino,Z7,1250,29,Intensivo2,PostPodayRaleo700-300,40.929,0.774,-227.526,12
29,31,pino,Z6,1250,26,Multipropósito,PostRaleo1250-700,0.069,2.791,1.441,6
30,32,pino,Z7,1250,26,Multipropósito,PostRaleo1250-700,0.047,2.905,8.454,6
31,,pino,Z6,1250,26,Multipropósito,PostPodayRaleo700-300,58.378,0.701,-298.450,12
32,,pino,Z7,1250,26,Multipropósito,PostPodayRaleo700-300,56.816,0.666,-260.576,12
33,,pino,Z6,1250,23,Pulpable,PostRaleo1250-700,9.592,1.169,-97.246,8
34,,pino,Z7,1250,23,Pulpable,PostRaleo1250-700,20.852,0.844,-103.893,8
